Pokedex Number,Name,Types,Generation,Region,Evolution_from,Evolution_to
851,Centiskorch,"Fire, Bug",Generation-viii,Galar,Sizzlipede,
852,Clobbopus,Fighting,Generation-viii,Galar,,Grapploct
853,Grapploct,Fighting,Generation-viii,Galar,Clobbopus,
854,Sinistea,Ghost,Generation-viii,Galar,,Polteageist
855,Polteageist,Ghost,Generation-viii,Galar,Sinistea,
856,Hatenna,Psychic,Generation-viii,Galar,,Hattrem
857,Hattrem,Psychic,Generation-viii,Galar,Hatenna,Hatterene
858,Hatterene,"Psychic, Fairy",Generation-viii,Galar,Hattrem,
859,Impidimp,"Dark, Fairy",Generation-viii,Galar,,Morgrem
860,Morgrem,"Dark, Fairy",Generation-viii,Galar,Impidimp,Grimmsnarl
861,Grimmsnarl,"Dark, Fairy",Generation-viii,Galar,Morgrem,
862,Obstagoon,"Dark, Normal",Generation-viii,Galar,Linoone,
863,Perrserker,Steel,Generation-viii,Galar,Persian,
864,Cursola,Ghost,Generation-viii,Galar,Corsola,
865,Sirfetchd,Fighting,Generation-viii,Galar,Farfetchd,
866,Mr-rime,"Ice, Psychic",Generation-viii,Galar,Mr-mime,
867,Runerigus,"Ground, Ghost",Generation-viii,Galar,Cofagrigus,
868,Milcery,Fairy,Generation-viii,Galar,,Alcremie
869,Alcremie,Fairy,Generation-viii,Galar,Milcery,
870,Falinks,Fighting,Generation-viii,Galar,,
871,Pincurchin,Electric,Generation-viii,Galar,,
872,Snom,"Ice, Bug",Generation-viii,Galar,,Frosmoth
873,Frosmoth,"Ice, Bug",Generation-viii,Galar,Snom,
874,Stonjourner,Rock,Generation-viii,Galar,,
875,Eiscue-ice,Ice,Generation-viii,Galar,,
876,Indeedee-male,"Psychic, Normal",Generation-viii,Galar,,
877,Morpeko-full-belly,"Electric, Dark",Generation-viii,Galar,,
878,Cufant,Steel,Generation-viii,Galar,,Copperajah
879,Copperajah,Steel,Generation-viii,Galar,Cufant,
880,Dracozolt,"Electric, Dragon",Generation-viii,Galar,,
881,Arctozolt,"Electric, Ice",Generation-viii,Galar,,
882,Dracovish,"Water, Dragon",Generation-viii,Galar,,
883,Arctovish,"Water, Ice",Generation-viii,Galar,,
884,Duraludon,"Steel, Dragon",Generation-viii,Galar,,Archaludon
885,Dreepy,"Dragon, Ghost",Generation-viii,Galar,,Drakloak
886,Drakloak,"Dragon, Ghost",Generation-viii,Galar,Dreepy,Dragapult
887,Dragapult,"Dragon, Ghost",Generation-viii,Galar,Drakloak,
888,Zacian,Fairy,Generation-viii,Galar,,
889,Zamazenta,Fighting,Generation-viii,Galar,,
890,Eternatus,"Poison, Dragon",Generation-viii,Galar,,
891,Kubfu,Fighting,Generation-viii,Galar,,Urshifu
892,Urshifu-single-strike,"Fighting, Dark",Generation-viii,Galar,Urshifu,
893,Zarude,"Dark, Grass",Generation-viii,Galar,,
894,Regieleki,Electric,Generation-viii,Galar,,
895,Regidrago,Dragon,Generation-viii,Galar,,
896,Glastrier,Ice,Generation-viii,Galar,,
897,Spectrier,Ghost,Generation-viii,Galar,,
898,Calyrex,"Psychic, Grass",Generation-viii,Galar,,
899,Wyrdeer,"Normal, Psychic",Generation-viii,Galar,Stantler,
900,Kleavor,"Bug, Rock",Generation-viii,Galar,Scizor,
901,Ursaluna,"Ground, Normal",Generation-viii,Galar,Ursaring,
902,Basculegion-male,"Water, Ghost",Generation-viii,Galar,Basculegion,
903,Sneasler,"Fighting, Poison",Generation-viii,Galar,Weavile,
904,Overqwil,"Dark, Poison",Generation-viii,Galar,Qwilfish,
905,Enamorus-incarnate,"Fairy, Flying",Generation-viii,Galar,,
906,Sprigatito,Grass,Generation-ix,Paldea,,Floragato
907,Floragato,Grass,Generation-ix,Paldea,Sprigatito,Meowscarada
908,Meowscarada,"Grass, Dark",Generation-ix,Paldea,Floragato,
909,Fuecoco,Fire,Generation-ix,Paldea,,Crocalor
910,Crocalor,Fire,Generation-ix,Paldea,Fuecoco,Skeledirge
911,Skeledirge,"Fire, Ghost",Generation-ix,Paldea,Crocalor,
912,Quaxly,Water,Generation-ix,Paldea,,Quaxwell
913,Quaxwell,Water,Generation-ix,Paldea,Quaxly,Quaquaval
914,Quaquaval,"Water, Fighting",Generation-ix,Paldea,Quaxwell,
915,Lechonk,Normal,Generation-ix,Paldea,,Oinkologne
916,Oinkologne-male,Normal,Generation-ix,Paldea,Oinkologne,
917,Tarountula,Bug,Generation-ix,Paldea,,Spidops
918,Spidops,Bug,Generation-ix,Paldea,Tarountula,
919,Nymble,Bug,Generation-ix,Paldea,,Lokix
920,Lokix,"Bug, Dark",Generation-ix,Paldea,Nymble,
921,Pawmi,Electric,Generation-ix,Paldea,,Pawmo
922,Pawmo,"Electric, Fighting",Generation-ix,Paldea,Pawmi,Pawmot
923,Pawmot,"Electric, Fighting",Generation-ix,Paldea,Pawmo,
924,Tandemaus,Normal,Generation-ix,Paldea,,Maushold
925,Maushold-family-of-four,Normal,Generation-ix,Paldea,Maushold,
926,Fidough,Fairy,Generation-ix,Paldea,,Dachsbun
927,Dachsbun,Fairy,Generation-ix,Paldea,Fidough,
928,Smoliv,"Grass, Normal",Generation-ix,Paldea,,Dolliv
929,Dolliv,"Grass, Normal",Generation-ix,Paldea,Smoliv,Arboliva
930,Arboliva,"Grass, Normal",Generation-ix,Paldea,Dolliv,
931,Squawkabilly-green-plumage,"Normal, Flying",Generation-ix,Paldea,,
932,Nacli,Rock,Generation-ix,Paldea,,Naclstack
933,Naclstack,Rock,Generation-ix,Paldea,Nacli,Garganacl
934,Garganacl,Rock,Generation-ix,Paldea,Naclstack,
935,Charcadet,Fire,Generation-ix,Paldea,,Armarouge Ceruledge
936,Armarouge,"Fire, Psychic",Generation-ix,Paldea,Charcadet,
937,Ceruledge,"Fire, Ghost",Generation-ix,Paldea,Armarouge,
938,Tadbulb,Electric,Generation-ix,Paldea,,Bellibolt
939,Bellibolt,Electric,Generation-ix,Paldea,Tadbulb,
940,Wattrel,"Electric, Flying",Generation-ix,Paldea,,Kilowattrel
941,Kilowattrel,"Electric, Flying",Generation-ix,Paldea,Wattrel,
942,Maschiff,Dark,Generation-ix,Paldea,,Mabosstiff
943,Mabosstiff,Dark,Generation-ix,Paldea,Maschiff,
944,Shroodle,"Poison, Normal",Generation-ix,Paldea,,Grafaiai
945,Grafaiai,"Poison, Normal",Generation-ix,Paldea,Shroodle,
946,Bramblin,"Grass, Ghost",Generation-ix,Paldea,,Brambleghast
947,Brambleghast,"Grass, Ghost",Generation-ix,Paldea,Bramblin,
948,Toedscool,"Ground, Grass",Generation-ix,Paldea,,Toedscruel
949,Toedscruel,"Ground, Grass",Generation-ix,Paldea,Toedscool,
950,Klawf,Rock,Generation-ix,Paldea,,
951,Capsakid,Grass,Generation-ix,Paldea,,Scovillain
952,Scovillain,"Grass, Fire",Generation-ix,Paldea,Capsakid,
953,Rellor,Bug,Generation-ix,Paldea,,Rabsca
954,Rabsca,"Bug, Psychic",Generation-ix,Paldea,Rellor,
955,Flittle,Psychic,Generation-ix,Paldea,,Espathra
956,Espathra,Psychic,Generation-ix,Paldea,Flittle,
957,Tinkatink,"Fairy, Steel",Generation-ix,Paldea,,Tinkatuff
958,Tinkatuff,"Fairy, Steel",Generation-ix,Paldea,Tinkatink,Tinkaton
959,Tinkaton,"Fairy, Steel",Generation-ix,Paldea,Tinkatuff,
960,Wiglett,Water,Generation-ix,Paldea,,Wugtrio
961,Wugtrio,Water,Generation-ix,Paldea,Wiglett,
962,Bombirdier,"Flying, Dark",Generation-ix,Paldea,,
963,Finizen,Water,Generation-ix,Paldea,,Palafin
964,Palafin-zero,Water,Generation-ix,Paldea,Palafin,
965,Varoom,"Steel, Poison",Generation-ix,Paldea,,Revavroom
966,Revavroom,"Steel, Poison",Generation-ix,Paldea,Varoom,
967,Cyclizar,"Dragon, Normal",Generation-ix,Paldea,,
968,Orthworm,Steel,Generation-ix,Paldea,,
969,Glimmet,"Rock, Poison",Generation-ix,Paldea,,Glimmora
970,Glimmora,"Rock, Poison",Generation-ix,Paldea,Glimmet,
971,Greavard,Ghost,Generation-ix,Paldea,,Houndstone
972,Houndstone,Ghost,Generation-ix,Paldea,Greavard,
973,Flamigo,"Flying, Fighting",Generation-ix,Paldea,,
974,Cetoddle,Ice,Generation-ix,Paldea,,Cetitan
975,Cetitan,Ice,Generation-ix,Paldea,Cetoddle,
976,Veluza,"Water, Psychic",Generation-ix,Paldea,,
977,Dondozo,Water,Generation-ix,Paldea,,
978,Tatsugiri-curly,"Dragon, Water",Generation-ix,Paldea,,
979,Annihilape,"Fighting, Ghost",Generation-ix,Paldea,Primeape,
980,Clodsire,"Poison, Ground",Generation-ix,Paldea,Quagsire,
981,Farigiraf,"Normal, Psychic",Generation-ix,Paldea,Girafarig,
982,Dudunsparce-two-segment,Normal,Generation-ix,Paldea,Dudunsparce,
983,Kingambit,"Dark, Steel",Generation-ix,Paldea,Bisharp,
984,Great-tusk,"Ground, Fighting",Generation-ix,Paldea,,
985,Scream-tail,"Fairy, Psychic",Generation-ix,Paldea,,
986,Brute-bonnet,"Grass, Dark",Generation-ix,Paldea,,
987,Flutter-mane,"Ghost, Fairy",Generation-ix,Paldea,,
988,Slither-wing,"Bug, Fighting",Generation-ix,Paldea,,
989,Sandy-shocks,"Electric, Ground",Generation-ix,Paldea,,
990,Iron-treads,"Ground, Steel",Generation-ix,Paldea,,
991,Iron-bundle,"Ice, Water",Generation-ix,Paldea,,
992,Iron-hands,"Fighting, Electric",Generation-ix,Paldea,,
993,Iron-jugulis,"Dark, Flying",Generation-ix,Paldea,,
994,Iron-moth,"Fire, Poison",Generation-ix,Paldea,,
995,Iron-thorns,"Rock, Electric",Generation-ix,Paldea,,
996,Frigibax,"Dragon, Ice",Generation-ix,Paldea,,Arctibax
997,Arctibax,"Dragon, Ice",Generation-ix,Paldea,Frigibax,Baxcalibur
998,Baxcalibur,"Dragon, Ice",Generation-ix,Paldea,Arctibax,
999,Gimmighoul,Ghost,Generation-ix,Paldea,,Gholdengo
1000,Gholdengo,"Steel, Ghost",Generation-ix,Paldea,Gimmighoul,
1001,Wo-chien,"Dark, Grass",Generation-ix,Paldea,,
1002,Chien-pao,"Dark, Ice",Generation-ix,Paldea,,
1003,Ting-lu,"Dark, Ground",Generation-ix,Paldea,,
1004,Chi-yu,"Dark, Fire",Generation-ix,Paldea,,
1005,Roaring-moon,"Dragon, Dark",Generation-ix,Paldea,,
1006,Iron-valiant,"Fairy, Fighting",Generation-ix,Paldea,,
1007,Koraidon,"Fighting, Dragon",Generation-ix,Paldea,,
1008,Miraidon,"Electric, Dragon",Generation-ix,Paldea,,
1009,Walking-wake,"Water, Dragon",Generation-ix,Paldea,,
1010,Iron-leaves,"Grass, Psychic",Generation-ix,Paldea,,
1011,Dipplin,"Grass, Dragon",Generation-ix,Paldea,Flapple,
1012,Poltchageist,"Grass, Ghost",Generation-ix,Paldea,,Sinistcha
1013,Sinistcha,"Grass, Ghost",Generation-ix,Paldea,Poltchageist,
1014,Okidogi,"Poison, Fighting",Generation-ix,Paldea,,
1015,Munkidori,"Poison, Psychic",Generation-ix,Paldea,,
1016,Fezandipiti,"Poison, Fairy",Generation-ix,Paldea,,
1017,Ogerpon,Grass,Generation-ix,Paldea,,
1018,Archaludon,"Steel, Dragon",Generation-ix,Paldea,Duraludon,
1019,Hydrapple,"Grass, Dragon",Generation-ix,Paldea,Flapple,
1020,Gouging-fire,"Fire, Dragon",Generation-ix,Paldea,,
1021,Raging-bolt,"Electric, Dragon",Generation-ix,Paldea,,
1022,Iron-boulder,"Rock, Psychic",Generation-ix,Paldea,,
1023,Iron-crown,"Steel, Psychic",Generation-ix,Paldea,,
1024,Terapagos,Normal,Generation-ix,Paldea,,
1025,Pecharunt,"Poison, Ghost",Generation-ix,Paldea,,
