Pokedex Number,Name,Types,Generation,Region,Previous Evolution,Evolution
713,Avalugg,Ice,Generation-vi,Kalos,Bergmite,Avalugg
714,Noibat,"Flying, Dragon",Generation-vi,Kalos,Noibat,Noivern
715,Noivern,"Flying, Dragon",Generation-vi,Kalos,Noibat,Noivern
716,Xerneas,Fairy,Generation-vi,Kalos,,
717,Yveltal,"Dark, Flying",Generation-vi,Kalos,,
718,Zygarde-50,"Dragon, Ground",Generation-vi,Kalos,,
719,Diancie,"Rock, Fairy",Generation-vi,Kalos,,
720,Hoopa,"Psychic, Ghost",Generation-vi,Kalos,,
721,Volcanion,"Fire, Water",Generation-vi,Kalos,,
722,Rowlet,"Grass, Flying",Generation-vii,Alola,Rowlet,"Dartrix, Decidueye"
723,Dartrix,"Grass, Flying",Generation-vii,Alola,Rowlet,"Dartrix, Decidueye"
724,Decidueye,"Grass, Ghost",Generation-vii,Alola,Rowlet,"Dartrix, Decidueye"
725,Litten,Fire,Generation-vii,Alola,Litten,"Torracat, Incineroar"
726,Torracat,Fire,Generation-vii,Alola,Litten,"Torracat, Incineroar"
727,Incineroar,"Fire, Dark",Generation-vii,Alola,Litten,"Torracat, Incineroar"
728,Popplio,Water,Generation-vii,Alola,Popplio,"Brionne, Primarina"
729,Brionne,Water,Generation-vii,Alola,Popplio,"Brionne, Primarina"
730,Primarina,"Water, Fairy",Generation-vii,Alola,Popplio,"Brionne, Primarina"
731,Pikipek,"Normal, Flying",Generation-vii,Alola,Pikipek,"Trumbeak, Toucannon"
732,Trumbeak,"Normal, Flying",Generation-vii,Alola,Pikipek,"Trumbeak, Toucannon"
733,Toucannon,"Normal, Flying",Generation-vii,Alola,Pikipek,"Trumbeak, Toucannon"
734,Yungoos,Normal,Generation-vii,Alola,Yungoos,Gumshoos
735,Gumshoos,Normal,Generation-vii,Alola,Yungoos,Gumshoos
736,Grubbin,Bug,Generation-vii,Alola,Grubbin,"Charjabug, Vikavolt"
737,Charjabug,"Bug, Electric",Generation-vii,Alola,Grubbin,"Charjabug, Vikavolt"
738,Vikavolt,"Bug, Electric",Generation-vii,Alola,Grubbin,"Charjabug, Vikavolt"
739,Crabrawler,Fighting,Generation-vii,Alola,Crabrawler,Crabominable
740,Crabominable,"Fighting, Ice",Generation-vii,Alola,Crabrawler,Crabominable
741,Oricorio-baile,"Fire, Flying",Generation-vii,Alola,,
742,Cutiefly,"Bug, Fairy",Generation-vii,Alola,Cutiefly,Ribombee
743,Ribombee,"Bug, Fairy",Generation-vii,Alola,Cutiefly,Ribombee
744,Rockruff,Rock,Generation-vii,Alola,Rockruff,Lycanroc
745,Lycanroc-midday,Rock,Generation-vii,Alola,Rockruff,Lycanroc
746,Wishiwashi-solo,Water,Generation-vii,Alola,,
747,Mareanie,"Poison, Water",Generation-vii,Alola,Mareanie,Toxapex
748,Toxapex,"Poison, Water",Generation-vii,Alola,Mareanie,Toxapex
749,Mudbray,Ground,Generation-vii,Alola,Mudbray,Mudsdale
750,Mudsdale,Ground,Generation-vii,Alola,Mudbray,Mudsdale
751,Dewpider,"Water, Bug",Generation-vii,Alola,Dewpider,Araquanid
752,Araquanid,"Water, Bug",Generation-vii,Alola,Dewpider,Araquanid
753,Fomantis,Grass,Generation-vii,Alola,Fomantis,Lurantis
754,Lurantis,Grass,Generation-vii,Alola,Fomantis,Lurantis
755,Morelull,"Grass, Fairy",Generation-vii,Alola,Morelull,Shiinotic
756,Shiinotic,"Grass, Fairy",Generation-vii,Alola,Morelull,Shiinotic
757,Salandit,"Poison, Fire",Generation-vii,Alola,Salandit,Salazzle
758,Salazzle,"Poison, Fire",Generation-vii,Alola,Salandit,Salazzle
759,Stufful,"Normal, Fighting",Generation-vii,Alola,Stufful,Bewear
760,Bewear,"Normal, Fighting",Generation-vii,Alola,Stufful,Bewear
761,Bounsweet,Grass,Generation-vii,Alola,Bounsweet,"Steenee, Tsareena"
762,Steenee,Grass,Generation-vii,Alola,Bounsweet,"Steenee, Tsareena"
763,Tsareena,Grass,Generation-vii,Alola,Bounsweet,"Steenee, Tsareena"
764,Comfey,Fairy,Generation-vii,Alola,,
765,Oranguru,"Normal, Psychic",Generation-vii,Alola,,
766,Passimian,Fighting,Generation-vii,Alola,,
767,Wimpod,"Bug, Water",Generation-vii,Alola,Wimpod,Golisopod
768,Golisopod,"Bug, Water",Generation-vii,Alola,Wimpod,Golisopod
769,Sandygast,"Ghost, Ground",Generation-vii,Alola,Sandygast,Palossand
770,Palossand,"Ghost, Ground",Generation-vii,Alola,Sandygast,Palossand
771,Pyukumuku,Water,Generation-vii,Alola,,
772,Type-null,Normal,Generation-vii,Alola,Type-null,Silvally
773,Silvally,Normal,Generation-vii,Alola,Type-null,Silvally
774,Minior-red-meteor,"Rock, Flying",Generation-vii,Alola,,
775,Komala,Normal,Generation-vii,Alola,,
776,Turtonator,"Fire, Dragon",Generation-vii,Alola,,
777,Togedemaru,"Electric, Steel",Generation-vii,Alola,,
778,Mimikyu-disguised,"Ghost, Fairy",Generation-vii,Alola,,
779,Bruxish,"Water, Psychic",Generation-vii,Alola,,
780,Drampa,"Normal, Dragon",Generation-vii,Alola,,
781,Dhelmise,"Ghost, Grass",Generation-vii,Alola,,
782,Jangmo-o,Dragon,Generation-vii,Alola,Jangmo-o,"Hakamo-o, Kommo-o"
783,Hakamo-o,"Dragon, Fighting",Generation-vii,Alola,Jangmo-o,"Hakamo-o, Kommo-o"
784,Kommo-o,"Dragon, Fighting",Generation-vii,Alola,Jangmo-o,"Hakamo-o, Kommo-o"
785,Tapu-koko,"Electric, Fairy",Generation-vii,Alola,,
786,Tapu-lele,"Psychic, Fairy",Generation-vii,Alola,,
787,Tapu-bulu,"Grass, Fairy",Generation-vii,Alola,,
788,Tapu-fini,"Water, Fairy",Generation-vii,Alola,,
789,Cosmog,Psychic,Generation-vii,Alola,Cosmog,"Cosmoem, Solgaleo"
790,Cosmoem,Psychic,Generation-vii,Alola,Cosmog,"Cosmoem, Solgaleo"
791,Solgaleo,"Psychic, Steel",Generation-vii,Alola,Cosmog,"Cosmoem, Solgaleo"
792,Lunala,"Psychic, Ghost",Generation-vii,Alola,Cosmog,"Cosmoem, Solgaleo"
793,Nihilego,"Rock, Poison",Generation-vii,Alola,,
794,Buzzwole,"Bug, Fighting",Generation-vii,Alola,,
795,Pheromosa,"Bug, Fighting",Generation-vii,Alola,,
796,Xurkitree,Electric,Generation-vii,Alola,,
797,Celesteela,"Steel, Flying",Generation-vii,Alola,,
798,Kartana,"Grass, Steel",Generation-vii,Alola,,
799,Guzzlord,"Dark, Dragon",Generation-vii,Alola,,
800,Necrozma,Psychic,Generation-vii,Alola,,
801,Magearna,"Steel, Fairy",Generation-vii,Alola,,
802,Marshadow,"Fighting, Ghost",Generation-vii,Alola,,
803,Poipole,Poison,Generation-vii,Alola,Poipole,Naganadel
804,Naganadel,"Poison, Dragon",Generation-vii,Alola,Poipole,Naganadel
805,Stakataka,"Rock, Steel",Generation-vii,Alola,,
806,Blacephalon,"Fire, Ghost",Generation-vii,Alola,,
807,Zeraora,Electric,Generation-vii,Alola,,
808,Meltan,Steel,Generation-vii,Alola,,
809,Melmetal,Steel,Generation-vii,Alola,,
810,Grookey,Grass,Generation-viii,Galar,Grookey,"Thwackey, Rillaboom"
811,Thwackey,Grass,Generation-viii,Galar,Grookey,"Thwackey, Rillaboom"
812,Rillaboom,Grass,Generation-viii,Galar,Grookey,"Thwackey, Rillaboom"
813,Scorbunny,Fire,Generation-viii,Galar,Scorbunny,"Raboot, Cinderace"
814,Raboot,Fire,Generation-viii,Galar,Scorbunny,"Raboot, Cinderace"
815,Cinderace,Fire,Generation-viii,Galar,Scorbunny,"Raboot, Cinderace"
816,Sobble,Water,Generation-viii,Galar,Sobble,"Drizzile, Inteleon"
817,Drizzile,Water,Generation-viii,Galar,Sobble,"Drizzile, Inteleon"
818,Inteleon,Water,Generation-viii,Galar,Sobble,"Drizzile, Inteleon"
819,Skwovet,Normal,Generation-viii,Galar,Skwovet,Greedent
820,Greedent,Normal,Generation-viii,Galar,Skwovet,Greedent
821,Rookidee,Flying,Generation-viii,Galar,Rookidee,"Corvisquire, Corviknight"
822,Corvisquire,Flying,Generation-viii,Galar,Rookidee,"Corvisquire, Corviknight"
823,Corviknight,"Flying, Steel",Generation-viii,Galar,Rookidee,"Corvisquire, Corviknight"
824,Blipbug,Bug,Generation-viii,Galar,Blipbug,"Dottler, Orbeetle"
825,Dottler,"Bug, Psychic",Generation-viii,Galar,Blipbug,"Dottler, Orbeetle"
826,Orbeetle,"Bug, Psychic",Generation-viii,Galar,Blipbug,"Dottler, Orbeetle"
827,Nickit,Dark,Generation-viii,Galar,Nickit,Thievul
828,Thievul,Dark,Generation-viii,Galar,Nickit,Thievul
829,Gossifleur,Grass,Generation-viii,Galar,Gossifleur,Eldegoss
830,Eldegoss,Grass,Generation-viii,Galar,Gossifleur,Eldegoss
831,Wooloo,Normal,Generation-viii,Galar,Wooloo,Dubwool
832,Dubwool,Normal,Generation-viii,Galar,Wooloo,Dubwool
833,Chewtle,Water,Generation-viii,Galar,Chewtle,Drednaw
834,Drednaw,"Water, Rock",Generation-viii,Galar,Chewtle,Drednaw
835,Yamper,Electric,Generation-viii,Galar,Yamper,Boltund
836,Boltund,Electric,Generation-viii,Galar,Yamper,Boltund
837,Rolycoly,Rock,Generation-viii,Galar,Rolycoly,"Carkol, Coalossal"
838,Carkol,"Rock, Fire",Generation-viii,Galar,Rolycoly,"Carkol, Coalossal"
839,Coalossal,"Rock, Fire",Generation-viii,Galar,Rolycoly,"Carkol, Coalossal"
840,Applin,"Grass, Dragon",Generation-viii,Galar,Applin,Flapple
841,Flapple,"Grass, Dragon",Generation-viii,Galar,Applin,Flapple
842,Appletun,"Grass, Dragon",Generation-viii,Galar,Applin,Flapple
843,Silicobra,Ground,Generation-viii,Galar,Silicobra,Sandaconda
844,Sandaconda,Ground,Generation-viii,Galar,Silicobra,Sandaconda
845,Cramorant,"Flying, Water",Generation-viii,Galar,,
846,Arrokuda,Water,Generation-viii,Galar,Arrokuda,Barraskewda
847,Barraskewda,Water,Generation-viii,Galar,Arrokuda,Barraskewda
848,Toxel,"Electric, Poison",Generation-viii,Galar,Toxel,Toxtricity
849,Toxtricity-amped,"Electric, Poison",Generation-viii,Galar,Toxel,Toxtricity
850,Sizzlipede,"Fire, Bug",Generation-viii,Galar,Sizzlipede,Centiskorch
851,Centiskorch,"Fire, Bug",Generation-viii,Galar,Sizzlipede,Centiskorch
852,Clobbopus,Fighting,Generation-viii,Galar,Clobbopus,Grapploct
853,Grapploct,Fighting,Generation-viii,Galar,Clobbopus,Grapploct
854,Sinistea,Ghost,Generation-viii,Galar,Sinistea,Polteageist
855,Polteageist,Ghost,Generation-viii,Galar,Sinistea,Polteageist
856,Hatenna,Psychic,Generation-viii,Galar,Hatenna,"Hattrem, Hatterene"
857,Hattrem,Psychic,Generation-viii,Galar,Hatenna,"Hattrem, Hatterene"
858,Hatterene,"Psychic, Fairy",Generation-viii,Galar,Hatenna,"Hattrem, Hatterene"
859,Impidimp,"Dark, Fairy",Generation-viii,Galar,Impidimp,"Morgrem, Grimmsnarl"
860,Morgrem,"Dark, Fairy",Generation-viii,Galar,Impidimp,"Morgrem, Grimmsnarl"
861,Grimmsnarl,"Dark, Fairy",Generation-viii,Galar,Impidimp,"Morgrem, Grimmsnarl"
862,Obstagoon,"Dark, Normal",Generation-viii,Galar,Zigzagoon,"Linoone, Obstagoon"
863,Perrserker,Steel,Generation-viii,Galar,Meowth,Persian
864,Cursola,Ghost,Generation-viii,Galar,Corsola,Cursola
865,Sirfetchd,Fighting,Generation-viii,Galar,Farfetchd,Sirfetchd
866,Mr-rime,"Ice, Psychic",Generation-viii,Galar,Mime-jr,"Mr-mime, Mr-rime"
867,Runerigus,"Ground, Ghost",Generation-viii,Galar,Yamask,Cofagrigus
868,Milcery,Fairy,Generation-viii,Galar,Milcery,Alcremie
869,Alcremie,Fairy,Generation-viii,Galar,Milcery,Alcremie
870,Falinks,Fighting,Generation-viii,Galar,,
871,Pincurchin,Electric,Generation-viii,Galar,,
872,Snom,"Ice, Bug",Generation-viii,Galar,Snom,Frosmoth
873,Frosmoth,"Ice, Bug",Generation-viii,Galar,Snom,Frosmoth
874,Stonjourner,Rock,Generation-viii,Galar,,
875,Eiscue-ice,Ice,Generation-viii,Galar,,
876,Indeedee-male,"Psychic, Normal",Generation-viii,Galar,,
877,Morpeko-full-belly,"Electric, Dark",Generation-viii,Galar,,
878,Cufant,Steel,Generation-viii,Galar,Cufant,Copperajah
879,Copperajah,Steel,Generation-viii,Galar,Cufant,Copperajah
880,Dracozolt,"Electric, Dragon",Generation-viii,Galar,,
881,Arctozolt,"Electric, Ice",Generation-viii,Galar,,
882,Dracovish,"Water, Dragon",Generation-viii,Galar,,
883,Arctovish,"Water, Ice",Generation-viii,Galar,,
884,Duraludon,"Steel, Dragon",Generation-viii,Galar,Duraludon,Archaludon
885,Dreepy,"Dragon, Ghost",Generation-viii,Galar,Dreepy,"Drakloak, Dragapult"
886,Drakloak,"Dragon, Ghost",Generation-viii,Galar,Dreepy,"Drakloak, Dragapult"
887,Dragapult,"Dragon, Ghost",Generation-viii,Galar,Dreepy,"Drakloak, Dragapult"
888,Zacian,Fairy,Generation-viii,Galar,,
889,Zamazenta,Fighting,Generation-viii,Galar,,
890,Eternatus,"Poison, Dragon",Generation-viii,Galar,,
891,Kubfu,Fighting,Generation-viii,Galar,Kubfu,Urshifu
892,Urshifu-single-strike,"Fighting, Dark",Generation-viii,Galar,Kubfu,Urshifu
893,Zarude,"Dark, Grass",Generation-viii,Galar,,
894,Regieleki,Electric,Generation-viii,Galar,,
895,Regidrago,Dragon,Generation-viii,Galar,,
896,Glastrier,Ice,Generation-viii,Galar,,
897,Spectrier,Ghost,Generation-viii,Galar,,
898,Calyrex,"Psychic, Grass",Generation-viii,Galar,,
899,Wyrdeer,"Normal, Psychic",Generation-viii,Galar,Stantler,Wyrdeer
900,Kleavor,"Bug, Rock",Generation-viii,Galar,Scyther,Scizor
901,Ursaluna,"Ground, Normal",Generation-viii,Galar,Teddiursa,"Ursaring, Ursaluna"
902,Basculegion-male,"Water, Ghost",Generation-viii,Galar,Basculin,Basculegion
903,Sneasler,"Fighting, Poison",Generation-viii,Galar,Sneasel,Weavile
904,Overqwil,"Dark, Poison",Generation-viii,Galar,Qwilfish,Overqwil
905,Enamorus-incarnate,"Fairy, Flying",Generation-viii,Galar,,
906,Sprigatito,Grass,Generation-ix,Paldea,Sprigatito,"Floragato, Meowscarada"
907,Floragato,Grass,Generation-ix,Paldea,Sprigatito,"Floragato, Meowscarada"
908,Meowscarada,"Grass, Dark",Generation-ix,Paldea,Sprigatito,"Floragato, Meowscarada"
909,Fuecoco,Fire,Generation-ix,Paldea,Fuecoco,"Crocalor, Skeledirge"
910,Crocalor,Fire,Generation-ix,Paldea,Fuecoco,"Crocalor, Skeledirge"
911,Skeledirge,"Fire, Ghost",Generation-ix,Paldea,Fuecoco,"Crocalor, Skeledirge"
912,Quaxly,Water,Generation-ix,Paldea,Quaxly,"Quaxwell, Quaquaval"
913,Quaxwell,Water,Generation-ix,Paldea,Quaxly,"Quaxwell, Quaquaval"
914,Quaquaval,"Water, Fighting",Generation-ix,Paldea,Quaxly,"Quaxwell, Quaquaval"
915,Lechonk,Normal,Generation-ix,Paldea,Lechonk,Oinkologne
916,Oinkologne-male,Normal,Generation-ix,Paldea,Lechonk,Oinkologne
917,Tarountula,Bug,Generation-ix,Paldea,Tarountula,Spidops
918,Spidops,Bug,Generation-ix,Paldea,Tarountula,Spidops
919,Nymble,Bug,Generation-ix,Paldea,Nymble,Lokix
920,Lokix,"Bug, Dark",Generation-ix,Paldea,Nymble,Lokix
921,Pawmi,Electric,Generation-ix,Paldea,Pawmi,"Pawmo, Pawmot"
922,Pawmo,"Electric, Fighting",Generation-ix,Paldea,Pawmi,"Pawmo, Pawmot"
923,Pawmot,"Electric, Fighting",Generation-ix,Paldea,Pawmi,"Pawmo, Pawmot"
924,Tandemaus,Normal,Generation-ix,Paldea,Tandemaus,Maushold
925,Maushold-family-of-four,Normal,Generation-ix,Paldea,Tandemaus,Maushold
926,Fidough,Fairy,Generation-ix,Paldea,Fidough,Dachsbun
927,Dachsbun,Fairy,Generation-ix,Paldea,Fidough,Dachsbun
928,Smoliv,"Grass, Normal",Generation-ix,Paldea,Smoliv,"Dolliv, Arboliva"
929,Dolliv,"Grass, Normal",Generation-ix,Paldea,Smoliv,"Dolliv, Arboliva"
930,Arboliva,"Grass, Normal",Generation-ix,Paldea,Smoliv,"Dolliv, Arboliva"
931,Squawkabilly-green-plumage,"Normal, Flying",Generation-ix,Paldea,,
932,Nacli,Rock,Generation-ix,Paldea,Nacli,"Naclstack, Garganacl"
933,Naclstack,Rock,Generation-ix,Paldea,Nacli,"Naclstack, Garganacl"
934,Garganacl,Rock,Generation-ix,Paldea,Nacli,"Naclstack, Garganacl"
935,Charcadet,Fire,Generation-ix,Paldea,Charcadet,Armarouge
936,Armarouge,"Fire, Psychic",Generation-ix,Paldea,Charcadet,Armarouge
937,Ceruledge,"Fire, Ghost",Generation-ix,Paldea,Charcadet,Armarouge
938,Tadbulb,Electric,Generation-ix,Paldea,Tadbulb,Bellibolt
939,Bellibolt,Electric,Generation-ix,Paldea,Tadbulb,Bellibolt
940,Wattrel,"Electric, Flying",Generation-ix,Paldea,Wattrel,Kilowattrel
941,Kilowattrel,"Electric, Flying",Generation-ix,Paldea,Wattrel,Kilowattrel
942,Maschiff,Dark,Generation-ix,Paldea,Maschiff,Mabosstiff
943,Mabosstiff,Dark,Generation-ix,Paldea,Maschiff,Mabosstiff
944,Shroodle,"Poison, Normal",Generation-ix,Paldea,Shroodle,Grafaiai
945,Grafaiai,"Poison, Normal",Generation-ix,Paldea,Shroodle,Grafaiai
946,Bramblin,"Grass, Ghost",Generation-ix,Paldea,Bramblin,Brambleghast
947,Brambleghast,"Grass, Ghost",Generation-ix,Paldea,Bramblin,Brambleghast
948,Toedscool,"Ground, Grass",Generation-ix,Paldea,Toedscool,Toedscruel
949,Toedscruel,"Ground, Grass",Generation-ix,Paldea,Toedscool,Toedscruel
950,Klawf,Rock,Generation-ix,Paldea,,
951,Capsakid,Grass,Generation-ix,Paldea,Capsakid,Scovillain
952,Scovillain,"Grass, Fire",Generation-ix,Paldea,Capsakid,Scovillain
953,Rellor,Bug,Generation-ix,Paldea,Rellor,Rabsca
954,Rabsca,"Bug, Psychic",Generation-ix,Paldea,Rellor,Rabsca
955,Flittle,Psychic,Generation-ix,Paldea,Flittle,Espathra
956,Espathra,Psychic,Generation-ix,Paldea,Flittle,Espathra
957,Tinkatink,"Fairy, Steel",Generation-ix,Paldea,Tinkatink,"Tinkatuff, Tinkaton"
958,Tinkatuff,"Fairy, Steel",Generation-ix,Paldea,Tinkatink,"Tinkatuff, Tinkaton"
959,Tinkaton,"Fairy, Steel",Generation-ix,Paldea,Tinkatink,"Tinkatuff, Tinkaton"
960,Wiglett,Water,Generation-ix,Paldea,Wiglett,Wugtrio
961,Wugtrio,Water,Generation-ix,Paldea,Wiglett,Wugtrio
962,Bombirdier,"Flying, Dark",Generation-ix,Paldea,,
963,Finizen,Water,Generation-ix,Paldea,Finizen,Palafin
964,Palafin-zero,Water,Generation-ix,Paldea,Finizen,Palafin
965,Varoom,"Steel, Poison",Generation-ix,Paldea,Varoom,Revavroom
966,Revavroom,"Steel, Poison",Generation-ix,Paldea,Varoom,Revavroom
967,Cyclizar,"Dragon, Normal",Generation-ix,Paldea,,
968,Orthworm,Steel,Generation-ix,Paldea,,
969,Glimmet,"Rock, Poison",Generation-ix,Paldea,Glimmet,Glimmora
970,Glimmora,"Rock, Poison",Generation-ix,Paldea,Glimmet,Glimmora
971,Greavard,Ghost,Generation-ix,Paldea,Greavard,Houndstone
972,Houndstone,Ghost,Generation-ix,Paldea,Greavard,Houndstone
973,Flamigo,"Flying, Fighting",Generation-ix,Paldea,,
974,Cetoddle,Ice,Generation-ix,Paldea,Cetoddle,Cetitan
975,Cetitan,Ice,Generation-ix,Paldea,Cetoddle,Cetitan
976,Veluza,"Water, Psychic",Generation-ix,Paldea,,
977,Dondozo,Water,Generation-ix,Paldea,,
978,Tatsugiri-curly,"Dragon, Water",Generation-ix,Paldea,,
979,Annihilape,"Fighting, Ghost",Generation-ix,Paldea,Mankey,"Primeape, Annihilape"
980,Clodsire,"Poison, Ground",Generation-ix,Paldea,Wooper,Quagsire
981,Farigiraf,"Normal, Psychic",Generation-ix,Paldea,Girafarig,Farigiraf
982,Dudunsparce-two-segment,Normal,Generation-ix,Paldea,Dunsparce,Dudunsparce
983,Kingambit,"Dark, Steel",Generation-ix,Paldea,Pawniard,"Bisharp, Kingambit"
984,Great-tusk,"Ground, Fighting",Generation-ix,Paldea,,
985,Scream-tail,"Fairy, Psychic",Generation-ix,Paldea,,
986,Brute-bonnet,"Grass, Dark",Generation-ix,Paldea,,
987,Flutter-mane,"Ghost, Fairy",Generation-ix,Paldea,,
988,Slither-wing,"Bug, Fighting",Generation-ix,Paldea,,
989,Sandy-shocks,"Electric, Ground",Generation-ix,Paldea,,
990,Iron-treads,"Ground, Steel",Generation-ix,Paldea,,
991,Iron-bundle,"Ice, Water",Generation-ix,Paldea,,
992,Iron-hands,"Fighting, Electric",Generation-ix,Paldea,,
993,Iron-jugulis,"Dark, Flying",Generation-ix,Paldea,,
994,Iron-moth,"Fire, Poison",Generation-ix,Paldea,,
995,Iron-thorns,"Rock, Electric",Generation-ix,Paldea,,
996,Frigibax,"Dragon, Ice",Generation-ix,Paldea,Frigibax,"Arctibax, Baxcalibur"
997,Arctibax,"Dragon, Ice",Generation-ix,Paldea,Frigibax,"Arctibax, Baxcalibur"
998,Baxcalibur,"Dragon, Ice",Generation-ix,Paldea,Frigibax,"Arctibax, Baxcalibur"
999,Gimmighoul,Ghost,Generation-ix,Paldea,Gimmighoul,Gholdengo
1000,Gholdengo,"Steel, Ghost",Generation-ix,Paldea,Gimmighoul,Gholdengo
1001,Wo-chien,"Dark, Grass",Generation-ix,Paldea,,
1002,Chien-pao,"Dark, Ice",Generation-ix,Paldea,,
1003,Ting-lu,"Dark, Ground",Generation-ix,Paldea,,
1004,Chi-yu,"Dark, Fire",Generation-ix,Paldea,,
1005,Roaring-moon,"Dragon, Dark",Generation-ix,Paldea,,
1006,Iron-valiant,"Fairy, Fighting",Generation-ix,Paldea,,
1007,Koraidon,"Fighting, Dragon",Generation-ix,Paldea,,
1008,Miraidon,"Electric, Dragon",Generation-ix,Paldea,,
1009,Walking-wake,"Water, Dragon",Generation-ix,Paldea,,
1010,Iron-leaves,"Grass, Psychic",Generation-ix,Paldea,,
1011,Dipplin,"Grass, Dragon",Generation-ix,Paldea,Applin,Flapple
1012,Poltchageist,"Grass, Ghost",Generation-ix,Paldea,Poltchageist,Sinistcha
1013,Sinistcha,"Grass, Ghost",Generation-ix,Paldea,Poltchageist,Sinistcha
1014,Okidogi,"Poison, Fighting",Generation-ix,Paldea,,
1015,Munkidori,"Poison, Psychic",Generation-ix,Paldea,,
1016,Fezandipiti,"Poison, Fairy",Generation-ix,Paldea,,
1017,Ogerpon,Grass,Generation-ix,Paldea,,
1018,Archaludon,"Steel, Dragon",Generation-ix,Paldea,Duraludon,Archaludon
1019,Hydrapple,"Grass, Dragon",Generation-ix,Paldea,Applin,Flapple
1020,Gouging-fire,"Fire, Dragon",Generation-ix,Paldea,,
1021,Raging-bolt,"Electric, Dragon",Generation-ix,Paldea,,
1022,Iron-boulder,"Rock, Psychic",Generation-ix,Paldea,,
1023,Iron-crown,"Steel, Psychic",Generation-ix,Paldea,,
1024,Terapagos,Normal,Generation-ix,Paldea,,
1025,Pecharunt,"Poison, Ghost",Generation-ix,Paldea,,
